Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,The Charming Downtown Stop,"The Village, Toronto (The Village)",One-Bedroom Apartment,0.9 miles from downtown,,$197,,,,,,,,,,,,,,,,,,1909,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"Luxury Private Suite with own entrance, private bath","North York, Toronto",One-Bedroom Apartment,6.7 miles from downtown,,$116,,,,,,,,,,,,,,,,,,1910,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"The Ritz-Carlton, Toronto","Entertainment District, Toronto (Entertainment District)","One Bedroom Corner Suite City View - 1 King bed, living room with sofabed",0.5 miles from downtown,,$800,,,,,,,,,,,,,,,,,,1911,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,1BR plus Den Condo with Balcony in Heart of Toronto,"Entertainment District, Toronto (Entertainment District)",Apartment,0.6 miles from downtown,,$167,,,,,,,,,,,,,,,,,,1912,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Relax in East York Space Share,Toronto,Bungalow,3.5 miles from downtown,,$52,,,,,,,,,,,,,,,,,,1913,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Simple & Tidy Private Rooms,"Scarborough, Toronto",Standard Double Room with Shared Bathroom,11 miles from downtown,,$71,,,,,,,,,,,,,,,,,,1914,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Comfort Home Toronto,"Scarborough, Toronto",King Room,8.5 miles from downtown,,$90,,,,,,,,,,,,,,,,,,1915,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Deluxe Queen Rooms with Privated Bathroom,"Scarborough, Toronto",Double Room with Private External Bathroom,12.1 miles from downtown,,$62,,,,,,,,,,,,,,,,,,1916,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"Bright, Private, Peaceful Suite with Retail Conveniences Steps Away","Cabbagetown, Toronto (Cabbagetown)",One-Bedroom Apartment,1.3 miles from downtown,,$233,,,,,,,,,,,,,,,,,,1917,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Condo Downtown Toronto with free parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,,$215,,,,,,,,,,,,,,,,,,1918,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,SkySide Downtown Condo - Free Parking,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.5 miles from downtown,Late Escape Deal,$204,,,,,,,,,,,,,,,,,,1919,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"Private Cozy Room in Downtown Toronto, Steps to Subway & CN Tower","Downtown Toronto, Toronto",Double Room with Shared Bathroom,1.4 miles from downtown,,$136,,,,,,,,,,,,,,,,,,1920,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Modern Downtown Retreat Waterfront & Attractions,"Downtown Toronto, Toronto",Apartment,1.1 miles from downtown,,$184,,,,,,,,,,,,,,,,,,1921,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,King West Private Rooftop Retreat,"Downtown Toronto, Toronto",Three-Bedroom Apartment,1.7 miles from downtown,Free airport taxi,$453,,,,,,,,,,,,,,,,,,1922,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
