Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre,event_score
Vitamin String Quartet,2025-10-28,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Pop,Pop,7.33
Dark Side of the Moon In Concert,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Rock,Pop,7.33
Stereolab,2025-10-06,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
"GIVEON: Dear Beloved, The Tour",2025-10-27,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,R&B,R&B,7.33
Royel Otis meet me in the car tour,2025-10-06,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Leon Thomas - Mutts Don't Heel Tour,2025-11-26,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Waterparks: The Prowler Tour,2025-11-23,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
THE HOME TEAM: THE CRUCIBLE OF LIFE TOUR,2025-11-25,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
Dijon,2025-11-25,History,1663 Queen St. East,43.66684147,-79.31351149,Music,R&B,R&B,7.33
Tom Odell - Don't Let Me Go Tour,2025-09-30,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
PinkPantheress,2025-10-29,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Pop,Pop,7.33
Jessie Reyez - Paid In Memories Tour,2025-12-05,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,R&B,R&B,7.33
Ripe and Allen Stone -  The Get Sweet Tour,2025-12-06,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Jessie Reyez - Paid In Memories Tour,2025-12-06,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,R&B,R&B,7.33
Shawn Desman - Back to Life,2025-12-12,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
The Flatliners,2025-12-12,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Mac DeMarco,2025-12-09,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Elvis Costello & The Imposters with Charlie Sexton,2025-09-26,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Matt Maltese: Tour For You My Whole Life,2025-09-25,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop,7.33
Oklou,2025-10-14,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Mac DeMarco,2025-12-08,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
