Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,price_usd,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events,price_cad,length_of_stay,is_holiday,district,latitude,longitude,is_weekend,week_of_year,booking_lead_time,room_category
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Goldwin's Place,"Etobicoke, Toronto",Deluxe Queen Room,6.5,76.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3206,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,102.6,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Deluxe Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3,97.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3207,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,130.95,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,10.5,189.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3208,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,255.15,2,False,Airport Area,43.6777,-79.6248,False,42,12,Family Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",King Room,0.7,321.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3209,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,433.35,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6,480.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3210,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,648.0,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Family Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9,196.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3211,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,264.6,2,False,Airport Area,43.6777,-79.6248,False,42,12,Family Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)",King Room,0.6,327.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3212,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,441.45,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Ace Hotel Toronto,"Fashion District, Toronto (Fashion District)",King Room,0.9,421.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3213,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,568.35,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Queen Nest Hotel,"Downtown Toronto, Toronto",Standard Queen Room,1.3,103.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3214,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,139.05,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Union Hotel,"Financial District, Toronto (Financial District)",King Room,0.4,427.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3215,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,576.45,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
