Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hazelton Suites - Yorkville - Indoor Pool & Hot Tub,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Apartment with View and Balcony,1.4 miles from downtown,Free airport taxi,$669,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Alexandra Hotel,"Downtown Toronto, Toronto",Double and Single Bed Room,1 miles from downtown,,$138,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Marriott Downtown at CF Toronto Eaton Centre,"Yonge - Dundas, Toronto (Yonge - Dundas)","Guest room, 2 Double",0.2 miles from downtown,,$250,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Deluxe Inn,"Etobicoke, Toronto",Queen Room - Non-Smoking,8.2 miles from downtown,,$89,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Nobu Suites - Toronto's Entertainment District,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.4 miles from downtown,Free airport taxi,$308,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Stylish Condos Toronto,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$303,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Yonge Suites Apart Hotel,"Yonge - Dundas, Toronto (Yonge Street)",One-Bedroom Apartment with Partial City View,0.2 miles from downtown,Free airport taxi,$202,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Large Downtown 2Br condo with Parking steps to Eaton Centre, UofT and SickKids","Downtown Toronto, Toronto",Two-Bedroom Apartment,0.6 miles from downtown,Free airport taxi,$253,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Downtown Toronto 2 bedrooms with parking,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with Balcony,0.7 miles from downtown,Free airport taxi,$265,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto,"Entertainment District, Toronto (Entertainment District)",King Room,0.7 miles from downtown,,$272,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Gorgeous Condo in Downtown Near CN Tower,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,,$177,,,,,,,,,
